[0127/011628.283:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0127/021148.644:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021153.652:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021158.664:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021203.677:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021208.689:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021213.697:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021218.710:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021223.723:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021228.736:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021233.748:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021238.761:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021243.775:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021248.789:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021253.796:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0127/021258.807:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0128/131934.403:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0128/131939.410:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0128/132555.841:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
